numero;especie;estado;dap;altura;defoliacion;muerdago
1;PISY ;decaimiento;52.8;15.4;3;3
2;PISY ;decaimiento;45.4;13.5;3;2
3;PISY ;decaimiento;40.6;15.2;3;3
4;PISY ;decaimiento;43.5;15.6;1;2
5;PISY ;decaimiento;51.9;15.6;2;2
6;PISY ;decaimiento;49.7;19.7;2;4
7;PISY ;decaimiento;47.3;15.8;2;2
8;PISY ;decaimiento;47.3;15.8;2;2
96;PISY ;sano;23.05;14;0;0
103;PISY ;sano;21.3;14.7;0;0
104;PISY ;sano;52.1;21.8;0;0
105;PISY ;sano;9.35;8;0;0
107;PISY ;sano;16.55;11.6;0;0
165;PISY ;sano;57.4;22.7;0;1
208;PISY ;sano;45.3;24.5;0;1
211;PISY ;sano;47.95;17.1;0;1