sp,name,pixel_landsat,status,pixel_sentinel,pixel_modis
Pinus sylvestris,S01,L1,Sanos,SE10,MO4
Pinus sylvestris,S02,L1,Sanos,SE11,MO4
Pinus sylvestris,S03,L2,Sanos,SE12,MO4
Pinus sylvestris,S04,L3,Sanos,SE13,MO4
Pinus sylvestris,S05,L3,Sanos,SE13,MO4
Pinus sylvestris,S06,L3,Sanos,SE13,MO4
Pinus sylvestris,M01,L4,Decaimiento,SE1,MO5
Pinus sylvestris,M02,L5,Decaimiento,SE2,MO5
Pinus sylvestris,M03,L5,Decaimiento,SE3,MO5
Pinus sylvestris,M04,L5,Decaimiento,SE4,MO5
Pinus sylvestris,M05,L6,Decaimiento,SE5,MO5
Pinus sylvestris,M06,L7,Decaimiento,SE6,MO5
Pinus sylvestris,M07,L6,Decaimiento,SE7,MO5
Pinus sylvestris,M08,L6,Decaimiento,SE8,MO5
Pinus sylvestris,M09,L6,Decaimiento,SE5,MO5
Pinus sylvestris,M10,L6,Decaimiento,SE9,MO5
Pinus pinaster,M06,L14,Decaimiento,SE25,MO2
Pinus pinaster,M07,L19,Decaimiento,SE29,MO2
Pinus pinaster,M08,L19,Decaimiento,SE29,MO2
Pinus pinaster,M09,L15,Decaimiento,SE23,MO2
Pinus pinaster,M10,L11,Decaimiento,SE19,MO1
Pinus pinaster,S11,L16,Sanos,SE26,MO2
Pinus pinaster,S12,L14,Sanos,SE25,MO2
Pinus pinaster,S13,L18,Sanos,SE28,MO2
Pinus pinaster,S14,L17,Sanos,SE27,MO2
Pinus pinaster,S15,L26,Sanos,SE38,MO1
Pinus pinaster,M26,L14,Decaimiento,SE24,MO2
Pinus pinaster,M27,L11,Decaimiento,SE18,MO1
Pinus pinaster,M28,L12,Decaimiento,SE20,MO1
Pinus pinaster,M29,L12,Decaimiento,SE20,MO1
Pinus pinaster,M30,L12,Decaimiento,SE21,MO1
Pinus pinaster,M31,L13,Decaimiento,SE22,MO1
Pinus pinaster,M32,L12,Decaimiento,SE21,MO1
Pinus pinaster,M33,L11,Decaimiento,SE17,MO1
Pinus pinaster,M34,L8,Decaimiento,SE14,MO1
Pinus pinaster,M35,L8,Decaimiento,SE14,MO1
Pinus pinaster,M36,L9,Decaimiento,SE15,MO1
Pinus pinaster,M37,L10,Decaimiento,SE16,MO1
Pinus pinaster,M38,L22,Decaimiento,SE32,MO3
Pinus pinaster,M39,L23,Decaimiento,SE33,MO3
Pinus pinaster,M40,L22,Decaimiento,SE34,MO3
Pinus pinaster,M41,L24,Decaimiento,SE36,MO3
Pinus pinaster,M42,L25,Decaimiento,SE37,MO3
Pinus pinaster,M43,L25,Decaimiento,SE35,MO2
Pinus pinaster,M44,L20,Decaimiento,SE30,MO3
Pinus pinaster,M45,L20,Decaimiento,SE30,MO3
Pinus pinaster,M53,L21,Decaimiento,SE31,MO3
Pinus pinaster,M54,L25,Decaimiento,SE37,MO3